ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
46,0,4020,32682,,Szlafrok Diamond Podomka Diam S/M z allegro,pomarańczowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,34445,,Szlafrok Diamond Podomka Diam S/M z allegro,Pudrowy róż,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,35169,,Szlafrok Diamond Podomka Diam S/M z allegro,purple grey,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,42351,,Szlafrok Diamond Podomka Diam S/M z allegro,navy / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,42382,,Szlafrok Diamond Podomka Diam S/M z allegro,powder pink / ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,44695,,Szlafrok Diamond Podomka Diam S/M z allegro,navy / white (ecru),,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,44771,,Szlafrok Diamond Podomka Diam S/M z allegro,jasnoszary,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,46516,,Szlafrok Diamond Podomka Diam S/M z allegro,Grey / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,46579,,Szlafrok Diamond Podomka Diam S/M z allegro,Navy / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,46788,,Szlafrok Diamond Podomka Diam S/M z allegro,Black / Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,46851,,Szlafrok Diamond Podomka Diam S/M z allegro,Black / Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,46978,,Szlafrok Diamond Podomka Diam S/M z allegro,Grey / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,47052,,Szlafrok Diamond Podomka Diam S/M z allegro,Jasny Róż,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,47431,,Szlafrok Diamond Podomka Diam S/M z allegro,Navy / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,47497,,Szlafrok Diamond Podomka Diam S/M z allegro,Niebieski,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,47560,,Szlafrok Diamond Podomka Diam S/M z allegro,Ecru / Powder Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,4020,,,Szlafrok Diamond Podomka Diam S/M z allegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32699,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32700,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Różowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32701,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Czarny w kropeczki,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32702,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Szary w gwiazdki,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32703,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Flaming,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32704,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,32705,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,39830,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Blue Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,39837,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Golden Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,39844,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,Dream Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4021,,,ZESTAW ŚPIWOREK ICE DO WÓZKA SANEK + MUFKA + TORBA z allegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32707,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32708,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Różowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32709,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Morski,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32710,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Jasny szary / Jasny szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32711,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Szary / Jasny szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32712,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Szary / Ciemny szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32713,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Czarny w kropeczki,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32714,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Szary / Niebieski,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32715,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Szary / Różowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32716,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Szary / Miętowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32717,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Czerwony,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,32718,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,Czarny,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,4022,,,ZESTAW ŚPIWOREK 4W1 DO WÓZKA SANEK + MUFKA + TORBA SÓWKA z allegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32720,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Szary,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32721,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Różowy,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32722,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Czarny w kropeczki,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32723,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Szary w gwiazdki,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32724,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Flaming,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32725,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,32726,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,39831,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Blue Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,39838,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Golden Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,39845,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,Dream Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,4023,,,Zestaw ŚPIWOREK REGULOWANY DO WÓZKA SANEK + MUFKA + TORBA GROW UP z allegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,4024,53204,,ŚPIWOREK DO WÓZKA SANEK gondola Śpiwór REGULOWANY GROW UP bez futra z allegro,---,,,,,,,,,,,,,,,,,,,,,,,,,,,
