#	Nazwa produktu	Opcja	Cena netto	Stawka VAT	Suma VAT	Cena brutto	Producent	Dostępne	W magazynie	W kolejce	Waga
1204	Mata puzzle pod sprzęt do ćwiczeń Flexifit	---	36.59	23	8.41	45	FlexiFit	0	1	1	4kg
1161	Hantle Protect 2 x 3 kg Flexifit	2 x 3 kg	56.1	23	12.9	69	FlexiFit	0	0	0	6kg
1207	Śpiwór Adventure Mumia Flexifit Pomarańczowy	pomarańczowy	32.44	23	7.46	39.9	FlexiFit	0	2	2	0.79kg
1208	Śpiwór Camper Flexifit Niebieski	niebieski	31.71	23	7.29	39	FlexiFit	8	12	4	2kg
1211	Deskorolka dziecięca Fishboard F1 Flexifit	mint/yellow	21.14	23	4.86	26	FlexiFit	0	0	0	2kg
1211	Deskorolka dziecięca Fishboard F1 Flexifit	orange/black	21.14	23	4.86	26	FlexiFit	1	3	2	2kg
1211	Deskorolka dziecięca Fishboard F1 Flexifit	green/yellow	21.14	23	4.86	26	FlexiFit	1	2	1	2kg
1212	Deskorolka dziecięca świecąca LED Fishboard F2 Flexifit	orange/black	39.84	23	9.16	49	FlexiFit	3	4	1	2kg
1212	Deskorolka dziecięca świecąca LED Fishboard F2 Flexifit	green/yellow	39.84	23	9.16	49	FlexiFit	1	1	0	2kg
1212	Deskorolka dziecięca świecąca LED Fishboard F2 Flexifit	black/red	39.84	23	9.16	49	FlexiFit	0	1	1	2kg
1213	Deskorolka Fishboard F3 Flexifit	orange/black	47.97	23	11.03	59	FlexiFit	1	1	0	2kg
1213	Deskorolka Fishboard F3 Flexifit	yellow/blue	47.97	23	11.03	59	FlexiFit	1	1	0	2kg
1213	Deskorolka Fishboard F3 Flexifit	mint/yellow	47.97	23	11.03	59	FlexiFit	6	6	0	2kg
1214	Deskorolka Fishboard N3 Flexifit	orange/black	35.77	23	8.23	44	FlexiFit	3	3	0	2kg
1214	Deskorolka Fishboard N3 Flexifit	yellow/mint	35.77	23	8.23	44	FlexiFit	0	0	0	2kg
1214	Deskorolka Fishboard N3 Flexifit	white/black	35.77	23	8.23	44	FlexiFit	0	1	1	2kg
1215	Deskorolka Fishboard F4 Flexifit	green/yellow	31.71	23	7.29	39	FlexiFit	1	1	0	2kg
1215	Deskorolka Fishboard F4 Flexifit	black/red	31.71	23	7.29	39	FlexiFit	1	1	0	2kg
1215	Deskorolka Fishboard F4 Flexifit	violet/yellow	31.71	23	7.29	39	FlexiFit	3	3	0	2kg
1215	Deskorolka Fishboard F4 Flexifit	ocean/orange	31.71	23	7.29	39	FlexiFit	1	1	0	2kg
1216	Deskorolka świecąca Fishboard LED F5 Flexifit	orange/black	39.84	23	9.16	49	FlexiFit	1	1	0	2kg
1216	Deskorolka świecąca Fishboard LED F5 Flexifit	green/yellow	39.84	23	9.16	49	FlexiFit	0	0	0	2kg
1217	Deskorolka Fishboard Print F6 Flexifit	Flower power	44.72	23	10.28	55	FlexiFit	1	1	0	2kg
1218	Deskorolka Fishboard podświetlana LED F7 Flexifit	LED Transparent	80.49	23	18.51	99	FlexiFit	0	1	1	2kg
1213	Deskorolka Fishboard F3 Flexifit	l.violet/mint	47.97	23	11.03	59	FlexiFit	0	0	0	2kg
1225	Stalowa skakanka czarna Crossfit Flexifit	---	12.93	23	2.97	15.9	FlexiFit	0	2	2	0.1kg
1226	Skakanka czarna Crossfit Flexifit	---	7.32	23	1.68	9	FlexiFit	6	20	14	0.1kg
1234	Bramka do Piłki Nożnej z tarczą Flexifit	---	129.27	23	29.73	159	FlexiFit	0	0	0	5.2kg
1236	Mata składana do ćwiczeń Flexifit czarno-szara	---	26.02	23	5.98	32	FlexiFit	0	3	3	1kg
1237	Gryf krótki Hollow z zaciskami Flexifit x 2 szt.	---	28.46	23	6.54	35	FlexiFit	0	0	0	1kg
1238	Guma Power Loop 64 mm niebieska Flexifit	niebieski	47.97	23	11.03	59	FlexiFit	2	4	2	0.2kg
1220	Obciążniki neoprenowe na ręce lub nogi 2 x 0,5 kg Flexifit	2 x 0,5 kg	13.74	23	3.16	16.9	FlexiFit	0	7	7	1kg
1221	Obciążniki neoprenowe na ręce lub nogi 2 x 1 kg Flexifit	2 x 1 kg	15.37	23	3.53	18.9	FlexiFit	0	7	7	2kg
1222	Obciążniki neoprenowe na ręce lub nogi 2 x 1,5 kg Flexifit	2 x 1,5 kg	21.95	23	5.05	27	FlexiFit	3	9	6	3kg
1223	Obciążniki neoprenowe na ręce lub nogi 2 x 2 kg Flexifit	2 x 2 kg	20.33	23	4.67	25	FlexiFit	43	55	12	4kg
922	Obciążniki na ręce lub nogi 2 x 3 kg zielone Flexifit	2 x 3 kg	31.71	23	7.29	39	FlexiFit	0	4	4	6kg
1246	Uchwyt poduszka pod gryf Flexifit	zielony	16.18	23	3.72	19.9	FlexiFit	77	77	0	1kg
1247	Hamak sznurkowy pleciony HK-05 Bluegarden	---	30.06	23	6.9	36.96	Bluegarden	0	2	2	6kg
1249	Expander 3 x guma treningowa Tubing Flexifit	---	56.1	23	12.9	69	FlexiFit	0	0	0	3kg
1250	Namiot turystyczny Milo 4-osobowy Flexifit	---	161.79	23	37.21	199	FlexiFit	0	0	0	2.8kg
1251	Parawan plażowy Flexifit	---	39.84	23	9.16	49	FlexiFit	0	6	6	2.5kg
1252	Mata samopompująca 185 x 56 cm Flexifit	Niebieska	47.97	23	11.03	59	FlexiFit	0	0	0	2.2kg
1254	Ochraniacze dziecięce na rolki lub deskorolkę 6-elementów Flexifit	różowe	15.37	23	3.53	18.9	FlexiFit	11	11	0	1kg
